省份,市,区域,医院名,地理位置,电话
重庆省,梁平县,梁平县,合兴中心卫生院,梁平县合兴镇街道111号,
重庆省,梁平县,梁平县,复平乡卫生院,梁平县复平乡街道,
重庆省,梁平县,梁平县,大观镇卫生院,梁平县大观镇大观街道181号,
重庆省,梁平县,梁平县,城北乡卫生院,梁平县城北乡星桥街道,
重庆省,梁平县,梁平县,碧山镇卫生院,梁平县碧山镇碧清路4号,
重庆省,梁平县,梁平县,柏家中心卫生院,梁平县柏家镇天官街27号,
重庆省,梁平县,梁平县,安胜乡卫生院,梁平县安胜乡梁安村2组,
重庆省,梁平县,梁平县,梁平县竹山镇卫生院,梁平县竹山镇街道80号,
重庆省,梁平县,梁平县,梁平县福禄中心卫生院,梁平县福禄镇福兴街16号,
重庆省,梁平县,梁平县,梁平县妇幼保健院二级甲等,梁平县梁山街道双桂路307号,
重庆省,梁平县,梁平县,梁平县人民医院二级甲等,梁平县人民西路251号,
重庆省,梁平县,梁平县,梁平县中医医院二级甲等,梁平县安宁街18号,
重庆省,江北区,江北区,大庆村社区卫生服务中心,江北区大石坝大庆村,
重庆省,江北区,江北区,玉带山社区卫生服务中心,江北区玉带山1号,
重庆省,江北区,江北区,五里店社区卫生服务中心,江北区建新东路57号,
重庆省,江北区,江北区,五宝社区卫生服务中心,江北区五宝镇街道61号,
重庆省,江北区,江北区,铁山坪社区卫生服务中心,江北区铁山坪岚垭村3号,
重庆省,江北区,江北区,石马河社区卫生服务中心,江北区石门盘溪70号,
重庆省,江北区,江北区,猫儿石社区卫生服务中心,江北区建新西路214号,
重庆省,江北区,江北区,华新街社区卫生服务中心,江北区大兴村三钢二路8号,
重庆省,江北区,江北区,郭家沱社区卫生服务中心,江北区郭家沱望江村,
重庆省,江北区,江北区,观音桥社区卫生服务中心,江北区观音桥建东一村35号附4号,
重庆省,江北区,江北区,复盛社区卫生服务中心,江北区庙坝场盛泰路10号,
重庆省,江北区,江北区,大石坝社区卫生服务中心,江北区大石坝天桥社区八村28附6号,
重庆省,江北区,江北区,江北黄泥磅医院,江北区红黄路91-8号黄泥磅立交桥下（力帆体育城对面）,
重庆省,江北区,江北区,江北区精神卫生中心、寸滩社区卫生服务中心（二级）,江北区寸滩正街171号,
重庆省,江北区,江北区,江北区鱼嘴社区卫生服务中心,江北区鱼嘴西路1号，与和韵家园、鱼嘴文化中心毗邻,
重庆省,江北区,江北区,重庆市中医院（三级甲等中医院）,江北区重庆市中医院,
重庆省,江北区,江北区,重庆长安医院,重庆市江北区建新东路65号,
重庆省,江北区,江北区,重庆江陵医院（二级甲等）,重庆市江北区大石坝正街1号,
重庆省,北部新区,北部新区,鸳鸯街道社区卫生服务中心（一级）,北部新区经开大道1331号附1号,
重庆省,北部新区,北部新区,人和街道社区卫生服务中心,北部新区人兴路199号,
重庆省,北部新区,北部新区,礼嘉社区卫生服务中心,北部新区礼嘉街道白马花园天桥旁,
重庆省,北部新区,北部新区,大竹林街道社区卫生服务中心,北部新区大竹林街道楠竹路3号,
重庆省,北部新区,北部新区,重庆北部新区第二人民医院（二级乙等）,重庆北部新区大竹林街道楠竹路3号,
重庆省,北部新区,北部新区,重庆北部新区第一人民医院（二级医院）,重庆北部新区人兴路199号,
重庆省,北部新区,北部新区,重庆医科大学附属第一医院金山医院,北部新区鸳鸯湖39号,
重庆省,渝中区,渝中区,望龙门街道社区卫生服务中心,渝中区解放东路187号2楼,
重庆省,渝中区,渝中区,上清寺街道社区卫生服务中心,渝中区中山三路162号附1号,
重庆省,渝中区,渝中区,七星岗街道社区卫生服务中心,渝中区七星岗华一坡30号,
重庆省,渝中区,渝中区,南纪门街道社区卫生服务中心,渝中区花街子22号（三楼）,
重庆省,渝中区,渝中区,两路口社区卫生服务中心,渝中区中山支路2号,
重庆省,渝中区,渝中区,解放碑街道社区卫生服务中心,渝中区德兴里1号名义层5楼（七星岗上海一百楼上）,
重庆省,渝中区,渝中区,化龙桥街道社区卫生服务中心,渝中区李子坝正街166号附10号,
重庆省,渝中区,渝中区,大溪沟街道社区卫生服务中心一级,渝中区华福巷47号,
重庆省,渝中区,渝中区,大坪街道社区卫生服务中心,渝中区大坪村2号,
重庆省,渝中区,渝中区,菜园坝街道社区卫生服务中心,渝中区交通街道4号附37号（菜袁路107号、109号）,
重庆省,渝中区,渝中区,石油路街道石油路社区卫生服务中心,渝中区大坪正街162号长乐楼,
重庆省,渝中区,渝中区,朝天门社区卫生服务中心,渝中区新华路142号附3号,
重庆省,渝中区,渝中区,重庆医科大学附属第一医院（三级甲等）,重庆市渝中区袁家岗友谊路1号,
重庆省,渝中区,渝中区,重庆市第三人民医院（三级甲等）,重庆市渝中区枇杷山正街104号,
重庆省,渝中区,渝中区,第三军医大学大坪医院（三级甲等）,重庆市渝中区大坪长江支路10号,
重庆省,垫江县,垫江县,周嘉中心卫生院,垫江县周嘉镇中心街1号,
重庆省,垫江县,垫江县,长龙乡卫生院（一级）,垫江县长龙乡街上,
重庆省,垫江县,垫江县,永平镇卫生院（一级）,垫江县永平镇十字路东大街,
重庆省,垫江县,垫江县,永安镇卫生院,垫江县永安镇中心街11号,
重庆省,垫江县,垫江县,砚台镇卫生院（一级）,垫江县砚台镇学府路100号,
重庆省,垫江县,垫江县,新民中心卫生院（垫江县精神卫生康复医院）,垫江县新民镇渝巫路54号,
重庆省,垫江县,垫江县,五洞中心卫生院（一级甲等）,垫江县五洞镇学府路33号,
重庆省,垫江县,垫江县,太平镇卫生院,垫江县太平镇石油路39号,
重庆省,垫江县,垫江县,沙坪镇卫生院,垫江县沙坪镇上街1号,
重庆省,垫江县,垫江县,沙河乡卫生院一级）,垫江县沙河乡沙河中街48号,
重庆省,垫江县,垫江县,三溪镇卫生院（一级）,垫江县三溪镇垫涪路120号,
重庆省,垫江县,垫江县,普顺镇卫生院（一级乙等）,垫江县普顺镇迎凤街1号,
重庆省,垫江县,垫江县,坪山中心卫生院,垫江县坪山镇新街118号,
重庆省,垫江县,垫江县,裴兴镇卫生院,垫江县裴兴镇南华街59号,
重庆省,垫江县,垫江县,黄沙乡卫生院（一级）,垫江县黄沙乡光明路2号,
重庆省,垫江县,垫江县,鹤游中心卫生院,垫江县鹤游镇鹤游街74号,
重庆省,垫江县,垫江县,高峰镇卫生院,垫江县高峰镇新街39号,
重庆省,垫江县,垫江县,高安中心卫生院,垫江县高安镇桥西路50号,
重庆省,垫江县,垫江县,杠家镇卫生院（一级）,垫江县杠家镇正街7号,
重庆省,垫江县,垫江县,大石乡卫生院,垫江县大石乡洋合新街33号,
重庆省,垫江县,垫江县,澄溪镇卫生院（一级）,垫江县澄溪镇人民路40号,
重庆省,垫江县,垫江县,曹回镇卫生院（一级）,垫江县曹回镇正大街10号,
重庆省,垫江县,垫江县,包家镇卫生院（一级乙等）,垫江县包家镇宝山居委2社,
重庆省,垫江县,垫江县,白家镇卫生院（一级）,垫江县白家镇新街22号,
重庆省,垫江县,垫江县,桂溪社区卫生服务中心（一级）,垫江县桂溪镇西街3号,
重庆省,垫江县,垫江县,垫江县妇幼保健院（二级甲等）,垫江县桂溪镇桂西大道北段180号,
重庆省,垫江县,垫江县,垫江县疾病预防控制中心,垫江县桂溪镇月阳路211号,
重庆省,垫江县,垫江县,垫江县人民医院（三级甲等）,垫江县桂溪镇北外街116号,
重庆省,垫江县,垫江县,垫江县中医院（三级甲等）,垫江县桂溪镇工农路502号,
重庆省,铜梁县,铜梁县,太平镇卫生院（一级）,铜梁县太平镇希望路91号,
重庆省,铜梁县,铜梁县,安溪镇卫生院（一级乙等）,铜梁县安溪镇顺河街64号,
重庆省,铜梁县,铜梁县,西河镇卫生院（一级乙等）,铜梁县西河镇西西街19号,
重庆省,铜梁县,铜梁县,庆隆镇卫生院,铜梁县庆隆镇龙庙街10号,
重庆省,铜梁县,铜梁县,围龙镇卫生院（一级乙等）,铜梁县围龙镇腾龙街70号,
重庆省,铜梁县,铜梁县,华兴镇卫生院（一级乙等）,铜梁县华兴镇文卫街16号,
重庆省,铜梁县,铜梁县,高楼镇卫生院（一级乙等）,铜梁县高楼镇紫荆花街,
重庆省,铜梁县,铜梁县,维新镇卫生院（一级乙等）,铜梁县维新镇新正街118号,
重庆省,铜梁县,铜梁县,石鱼镇卫生院（一级乙等）,铜梁县石鱼镇红心街107号,
重庆省,铜梁县,铜梁县,福果镇卫生院（一级乙等）,铜梁县崇文街91号,
重庆省,铜梁县,铜梁县,双山镇卫生院（一级乙等）,铜梁县双山镇上河街23号,
重庆省,铜梁县,铜梁县,小林镇卫生院（一级乙等）,铜梁县小林镇正街2号,
重庆省,铜梁县,铜梁县,白羊镇卫生院（一级乙等）,铜梁县白羊镇金羊社区金羊街86号,
重庆省,铜梁县,铜梁县,二坪镇卫生院（一级乙等）,铜梁县二坪镇兴龙街62号,
重庆省,铜梁县,铜梁县,水口镇卫生院（一级乙等）,铜梁县汇龙街24号,
重庆省,铜梁县,铜梁县,土桥镇卫生院（一级乙等）,铜梁县土桥镇土桥路133号,
重庆省,铜梁县,铜梁县,侣俸镇中心卫生院（一级甲等）,铜梁县侣俸镇西北路9号,
重庆省,铜梁县,铜梁县,永嘉镇中心卫生院（一级甲等）,铜梁县永嘉镇泰康街38号,
重庆省,铜梁县,铜梁县,蒲吕镇中心卫生院（一级甲等）,铜梁县蒲吕镇北街65号,
重庆省,铜梁县,铜梁县,大庙镇中心卫生院（一级甲等）,铜梁县大庙镇向阳街,
重庆省,铜梁县,铜梁县,少云镇中心卫生院（一级甲等）,铜梁县少云镇新正街39号,
重庆省,铜梁县,铜梁县,虎峰镇中心卫生院（一级甲等）,铜梁县虎峰镇虎天街5号,
重庆省,铜梁县,铜梁县,平滩镇中心卫生院（一级甲等）,铜梁县平滩镇东街134号,
重庆省,铜梁县,铜梁县,安居镇中心卫生院（一级甲等）,铜梁县安居兴隆街111号,
重庆省,铜梁县,铜梁县,旧县镇中心卫生院（一级甲等）,铜梁县旧县镇向阳街19号,
重庆省,铜梁县,铜梁县,南城街道社区卫生服务中心,铜梁县巴川镇建设南路40号,
重庆省,铜梁县,铜梁县,东城街道社区卫生服务中心（一级乙等）,铜梁县东城街道校园街26号,
重庆省,铜梁县,铜梁县,巴川街道社区卫生服务中心（一级甲等）,铜梁县巴川镇营盘街364号,
重庆省,铜梁县,铜梁县,铜梁县疾控中心,铜梁县巴川街道办事处迎宾路中段273号,
重庆省,铜梁县,铜梁县,铜梁县妇幼保健院（二级甲等）,铜梁县巴川镇飞凤街124号,
重庆省,铜梁县,铜梁县,铜梁县中医院（二级甲等）,铜梁县巴川街道龙门街200号,
重庆省,铜梁县,铜梁县,铜梁县人民医院（二级甲等）,铜梁县南城街道建设南路68号,
重庆省,北碚区,北碚区,北碚区金刀峡镇卫生院,北碚区金刀峡镇偏岩街14号,
重庆省,北碚区,北碚区,北碚区中医门诊部,北碚区中山路87号,
重庆省,北碚区,北碚区,北碚区天府镇卫生院,北碚区天府镇后峰路115号附1号,68308936
重庆省,北碚区,北碚区,北碚区施家梁镇卫生院,北碚区施家梁镇陵峡南路265号,68269129
重庆省,北碚区,北碚区,北碚区童家溪镇卫生院,北碚区童家溪镇同兴北路28号,68278050
重庆省,北碚区,北碚区,北碚区三圣镇卫生院,北碚区三圣镇街道69号,68234382
重庆省,北碚区,北碚区,北碚区复兴医院,北碚区复兴镇复兴街道141号,68314062
重庆省,北碚区,北碚区,北碚区柳荫镇卫生院,北碚区柳荫镇柳江街1号,13206042898
重庆省,北碚区,北碚区,北碚区静观镇中心卫生院,北碚区静观镇华静路53号,68310862
重庆省,北碚区,北碚区,北碚区水土医院,北碚区水土镇解放路53号,68314482
重庆省,北碚区,北碚区,北碚区蔡家医院,北碚区蔡家岗镇40号,68277792
重庆省,北碚区,北碚区,北碚区红十字医院,北碚区澄江镇运河路20号,68227583
重庆省,北碚区,北碚区,北碚区歇马镇中心卫生院,北碚区歇马镇歇马支路21号,86022880
重庆省,北碚区,北碚区,龙凤社区卫生服务中心,北碚区龙凤一村20号,68355420
重庆省,北碚区,北碚区,朝阳社区卫生服务中心,北碚区上海路48号,68355175
重庆省,北碚区,北碚区,北泉社区卫生服务中心,北碚区团山二路,68355178
重庆省,北碚区,北碚区,东阳社区卫生服务中心,北碚区东阳街道夏坝路46号,68273639
重庆省,北碚区,北碚区,北碚区妇幼保健院（二级甲等）,北碚区鱼塘湾2号,86036886
重庆省,北碚区,北碚区,重庆市第九人民医院（三级甲等）,重庆市北碚区嘉陵村69号,68867931
重庆省,北碚区,北碚区,北碚区中医院（三级甲等）,北碚区将军路380号,68863618
重庆省,巫溪县,巫溪县,宁河街道社区卫生服务中心,巫溪县人民街45号,
重庆省,巫溪县,巫溪县,巫溪县中医医院（二级乙等）,巫溪县解放街20号,
重庆省,巫溪县,巫溪县,巫溪县妇幼保健院,巫溪县城厢镇人民街45号,
重庆省,巫溪县,巫溪县,巫溪县疾病预防控制中心,巫溪县城厢镇马镇坝春申大道295号,
重庆省,巫溪县,巫溪县,巫溪县人民医院（二级甲等）,巫溪县城厢镇环城路425号,
重庆省,长寿区,长寿区,长寿区八颗镇梓潼卫生院,长寿区八颗梓潼正街123号,
重庆省,长寿区,长寿区,长寿区八颗镇付何卫生院,长寿区八颗镇范何路54号,
重庆省,长寿区,长寿区,长寿区八颗镇八颗卫生院,长寿区八颗镇正街4号,
重庆省,长寿区,长寿区,重庆市长寿区龙河镇乐温卫生院,重庆市长寿区龙河镇仁和正街74号,
重庆省,长寿区,长寿区,重庆市长寿区龙河镇龙河卫生院,重庆市长寿区龙河镇龙河正街76号,
重庆省,长寿区,长寿区,重庆市长寿区龙河镇合兴卫生院,重庆市长寿区龙河镇合兴村2组（龙河政府旁）,
重庆省,长寿区,长寿区,重庆市长寿区万顺镇卫生院,重庆市长寿区万顺镇正街136号,
重庆省,长寿区,长寿区,长寿区洪湖镇卫生院,长寿区洪湖正街203号,
重庆省,长寿区,长寿区,重庆市长寿区新市镇卫生院,重庆市长寿区新市镇河石井开发区（加油站旁）,
重庆省,长寿区,长寿区,重庆市长寿区葛兰镇卫生院,重庆市长寿区葛兰镇枣子街1号,
重庆省,长寿区,长寿区,长寿区石堰镇卫生院,长寿区石堰镇正街71号,
重庆省,长寿区,长寿区,重庆市长寿区云台镇卫生院,重庆市长寿区云台镇云台路53号,
重庆省,长寿区,长寿区,重庆市长寿区海棠镇卫生院,重庆市长寿区海棠镇正街246号,
重庆省,长寿区,长寿区,双龙镇卫生院,长寿区双龙镇龙凤街14号,
重庆省,长寿区,长寿区,长寿区云集镇卫生院,长寿区云集镇华中华新街28号,
重庆省,长寿区,长寿区,重庆市长寿区长寿湖镇卫生院,重庆市长寿区长寿湖镇长狮路18号,
重庆省,长寿区,长寿区,重庆市长寿区邻封镇卫生院,重庆市长寿区邻封镇正街12号,
重庆省,长寿区,长寿区,重庆市长寿区但渡镇卫生院,长寿区但渡镇下洞街,
重庆省,长寿区,长寿区,长寿区渡舟街道社区卫生服务中心,重庆市长寿区渡舟街道渡中路64号,
重庆省,长寿区,长寿区,长寿区江南街道社区卫生服务中心,重庆市长寿区江南一路21号,
重庆省,长寿区,长寿区,长寿区凤城社区卫生服务中心,长寿区凤城街道望江支路3号附1号,
重庆省,长寿区,长寿区,长寿区第三人民医院（木莲街社区卫生服务中心）,长寿区晏家街道木莲街1号,
重庆省,长寿区,长寿区,长寿区妇幼保健院,长寿区桃西路9号,
重庆省,长寿区,长寿区,长寿区疾控中心,长寿区凤城街道凤岭路4号,
重庆省,长寿区,长寿区,长寿区凤城街道桃花社区卫生服务中心（区中医院下属的社区卫生服务中心）,长寿区凤城镇桃花大道58号,
重庆省,长寿区,长寿区,长寿区中医院（二级乙等）,长寿区杏林路1号,
重庆省,长寿区,长寿区,长寿区人民医院二级甲等,长寿区凤城街道北观16号,
重庆省,巫山县,巫山县,竹贤乡卫生院,巫山县竹贤乡福坪村1社,
重庆省,巫山县,巫山县,巫峡镇中心卫生院,巫山县巫峡镇白泉村6组,
重庆省,巫山县,巫山县,铜鼓镇卫生院,巫山县铜鼓镇白云街一号,
重庆省,巫山县,巫山县,双龙中心卫生院,巫山县双龙镇乌龙村,
重庆省,巫山县,巫山县,三溪乡卫生院,巫山县三溪乡三溪场镇,
重庆省,巫山县,巫山县,曲尺乡卫生院,巫山县曲尺乡场镇,
重庆省,巫山县,巫山县,平河乡卫生院,巫山县平河场镇,
重庆省,巫山县,巫山县,培石乡卫生院,巫山县培石乡培石场镇,
重庆省,巫山县,巫山县,庙宇镇中心卫生院,巫山县庙宇镇东门街,
重庆省,巫山县,巫山县,骡坪中心卫生院,巫山县骡坪镇迎春街3号,
重庆省,巫山县,巫山县,龙溪镇卫生院,巫山县龙溪镇场镇,
重庆省,巫山县,巫山县,龙门社区卫生服务中心,巫山县龙门街道梨早村5组,
重庆省,巫山县,巫山县,两坪乡卫生院,巫山县两坪乡仙桥村,
重庆省,巫山县,巫山县,金坪乡卫生院,巫山县金坪乡五星村场镇,
重庆省,巫山县,巫山县,建平乡卫生院,巫山县建平乡建坪村场镇,
重庆省,巫山县,巫山县,红椿土家族乡卫生院,巫山县红椿土家族乡场镇,
重庆省,巫山县,巫山县,官阳镇中心卫生院,巫山县官阳镇三兴街62号,
重庆省,巫山县,巫山县,官渡镇中心卫生院,巫山县官渡镇双桥街121号,
重庆省,巫山县,巫山县,高唐街道社区卫生服务中心,巫山县高唐街道平湖西路39号,
重庆省,巫山县,巫山县,福田镇卫生院,巫山县福田镇康达巷120号,
重庆省,巫山县,巫山县,笃坪乡中心卫生院,巫山县笃坪乡场镇,
重庆省,巫山县,巫山县,邓家乡卫生院,巫山县邓家乡池塘村2组,
重庆省,巫山县,巫山县,当阳乡卫生院,巫山县当阳乡场镇,
重庆省,巫山县,巫山县,大溪乡卫生院,巫山县大溪乡大溪村场镇,
重庆省,巫山县,巫山县,大昌中心卫生院,巫山县大昌镇深圳路118号,
重庆省,巫山县,巫山县,抱龙中心卫生院,巫山县抱龙镇莲花街15号,
重庆省,巫山县,巫山县,巫山县妇幼保健院二级甲等,巫山县巫峡镇高唐路38号,
重庆省,巫山县,巫山县,巫山县中医院二级甲等,巫山县广东中路277号,
重庆省,巫山县,巫山县,巫山县人民医院（二级甲等）,重庆市巫山县高唐街道广东西路168号,
重庆省,綦江区,綦江区,扶欢镇卫生院社区服务站,綦江区扶欢镇高滩岩路68号,
重庆省,綦江区,綦江区,綦江区妇幼保健院,綦江区文龙街道九龙大道41号,
重庆省,綦江区,綦江区,重庆南桐矿业有限责任公司总医院,重庆市万盛经济技术开发区清溪桥,
重庆省,綦江区,綦江区,黑山镇公共卫生服务中心,重庆市万盛经开区黑山镇马家坳,
重庆省,綦江区,綦江区,重庆市万盛经开区石林镇卫生院公共卫生服务中心,重庆市万盛经开区石林镇星台村石坎子社,
重庆省,綦江区,綦江区,重庆市万盛经开区丛林镇卫生院,重庆市万盛经开区丛林镇黄泥堡,
重庆省,綦江区,綦江区,万盛经开区金桥镇卫生院,万盛经开区金桥镇金灵庙,
重庆省,綦江区,綦江区,重庆市万盛经开区南桐镇中心卫生院,重庆市万盛经开区南桐镇动力村787号,
重庆省,綦江区,綦江区,万东镇中心卫生院,万东北路60号,
重庆省,綦江区,綦江区,重庆市万盛经开区青年镇中心卫生院,重庆市万盛经开区青年镇桐梓街31号,
重庆省,綦江区,綦江区,重庆市万盛经开区关坝镇中心卫生院,重庆市万盛经开区关坝镇兴隆街244号,
重庆省,綦江区,綦江区,重庆市万盛经开区万盛街道社区卫生服务中心,重庆市万盛经开区万新路101号,
重庆省,綦江区,綦江区,万盛经开区人民医院,万盛街道万东北路43号,
重庆省,丰都县,丰都县,丰都县湛普镇卫生院,丰都县湛普镇场上,
重庆省,丰都县,丰都县,丰都县许明寺镇卫生院,丰都县许明寺镇佳苑居委3组,
重庆省,丰都县,丰都县,丰都县兴义镇卫生院,丰都县工业园区水天坪,
重庆省,丰都县,丰都县,丰都县兴龙镇卫生院,丰都县兴龙镇铺子村10组,
重庆省,丰都县,丰都县,丰都县仙女湖镇卫生院,丰都县仙女湖镇竹子社区3组,
重庆省,丰都县,丰都县,丰都县太平坝乡卫生院,丰都县太平坝乡场上,
重庆省,丰都县,丰都县,丰都县双路镇卫生院,丰都县双路镇和平村2组,
重庆省,丰都县,丰都县,丰都县双龙镇卫生院,丰都县双龙镇双龙村3组,
重庆省,丰都县,丰都县,丰都县十直镇卫生院,丰都县十直镇梁家湾村宝莲路,
重庆省,丰都县,丰都县,丰都县三建乡卫生院,丰都县三建乡廖家坝6组,
重庆省,丰都县,丰都县,丰都县仁沙镇卫生院,丰都县仁沙镇石盘滩村渠溪路163号,
重庆省,丰都县,丰都县,丰都县青龙乡卫生院,丰都县青龙乡太平场居委,
重庆省,丰都县,丰都县,丰都县南天湖镇卫生院,丰都县南天湖镇三抚场上,
重庆省,丰都县,丰都县,丰都县龙孔镇卫生院,丰都县龙孔镇场上,
重庆省,丰都县,丰都县,丰都县栗子乡卫生院,丰都县栗子乡,
